,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
32,55,0.539,0.777,0,-17.645,0,0.0535,0.896,0.912,0.222,0.022,105.989,95226,4
33,63,0.639,0.028,6,-29.729,0,0.039,0.971,0.397,0.116,0.4,130.02,91303,3
34,45,0.505,0.0939,5,-27.887,0,0.0338,0.994,0.933,0.109,0.418,119.587,97997,3
35,48,0.34,0.138,2,-24.95,0,0.0357,0.984,0.846,0.112,0.325,128.563,137547,4
36,45,0.238,0.158,6,-22.004,0,0.0336,0.939,0.923,0.103,0.0744,155.346,157071,4
37,46,0.3,0.281,1,-18.971,0,0.0322,0.945,0.938,0.154,0.413,140.101,172598,3
38,49,0.432,0.137,2,-17.478,0,0.0294,0.97,0.937,0.0775,0.128,143.896,298320,3
39,70,0.76,0.803,8,-2.867,0,0.0306,0.531,0.0,0.0555,0.922,136.945,223074,4
40,91,0.901,0.589,1,-6.713,0,0.289,0.00302,0.000237,0.0992,0.399,98.002,196600,4
41,51,0.884,0.694,0,-3.241,1,0.0716,0.156,0.0188,0.3,0.597,93.025,188533,4
42,86,0.873,0.695,0,-4.207,0,0.0459,0.419,1.23e-06,0.211,0.823,131.963,158805,4
43,59,0.666,0.784,8,-4.524,1,0.0342,0.152,3.33e-06,0.0793,0.477,91.999,247973,4
44,78,0.754,0.805,6,-4.249,1,0.0752,0.315,0.0,0.203,0.555,93.982,176133,4
45,75,0.755,0.772,3,-4.539,0,0.154,0.0605,9.19e-05,0.223,0.586,168.062,233160,4
46,78,0.734,0.836,10,-4.803,0,0.0735,0.017,1.64e-05,0.179,0.623,80.002,270741,4
47,78,0.8,0.837,6,-2.807,0,0.0491,0.00406,0.00313,0.0904,0.702,100.015,225600,4
48,76,0.78,0.759,1,-3.292,1,0.225,0.462,0.000868,0.143,0.579,91.952,201040,4
49,67,0.79,0.799,8,-5.667,1,0.0921,0.0177,0.0236,0.086,0.763,90.99,276066,4
50,77,0.785,0.572,2,-7.504,1,0.123,0.0598,0.0,0.218,0.49,100.016,235284,4
51,72,0.716,0.665,5,-5.874,1,0.0313,0.251,0.000186,0.254,0.5,87.557,123815,4
52,0,0.481,0.708,11,-8.522,1,0.086,0.281,0.00382,0.209,0.685,191.915,150442,4
53,24,0.722,0.351,1,-8.826,1,0.049,0.00322,0.763,0.124,0.473,87.511,120571,4
54,72,0.464,0.596,3,-6.721,1,0.0302,0.599,0.00196,0.248,0.464,139.861,123429,3
